,0
0,34180.8265556097
1,33830.59386265278
2,33480.41577410698
3,33130.277728796005
4,32957.312796115875
5,32784.347863435745
6,32611.39749193191
7,32438.45440101623
8,31827.198061704632
9,31216.072772979733
10,30605.085815429684
11,30000.880725741386
12,28629.37627106905
13,27258.665400505066
14,25888.733552873135
15,24519.582548320293
16,23146.350774109364
17,21773.921684741974
18,20402.2989205122
19,19031.484301567078
20,19455.6076836586
21,19879.800231337547
22,20304.058304309845
23,20728.385542869568
24,21385.647918701172
25,22043.063186883926
26,22700.642268300056
27,23358.392443537712
28,24095.852317988873
29,24833.53425037861
30,25571.418219089508
31,26309.51878529787
32,26140.03579390049
33,25970.569183826447
34,25801.100753605366
35,25631.648704707623
36,25248.041795670986
37,24864.482210457325
38,24480.96084833145
39,24097.479529440403
40,25221.003511428833
41,26345.058976352215
42,27469.655024945736
43,28594.78255647421
44,28395.58748483658
45,28196.386952757835
46,27997.19552141428
47,27798.011370658875
48,27490.209945440292
49,27182.42308139801
50,26874.65623897314
51,26566.916698753834
52,26141.966969907284
53,25717.066385030746
54,25292.198562800884
55,24867.38352483511
56,24206.992316246033
57,23546.74489927292
58,22886.63217318058
59,22226.665058851242
60,21254.27698612213
61,20282.212899565697
62,19310.465518593788
63,18339.034843206406
64,17379.04925239086
65,16419.373086571693
66,15459.999065160753
67,14500.923547863962
68,12957.587202042343
69,11415.204613268375
70,9873.773051321507
71,8330.605069100857
72,7051.091755777598
73,5772.251441821457
74,4494.088222563268
75,3216.5980026721954
76,2187.374018549919
77,1158.5700333565476
78,130.1928726434709
79,-897.7506380379199
80,-843.6849904358386
81,-789.6070568412541
82,-735.5400441288947
83,-681.4689360857009
84,-536.5329026728867
85,-391.5904987454413
86,-246.64900489151466
87,-101.70068548619734
88,197.08964678645148
89,495.91319674253475
90,794.75722335279
91,1093.6374253854158
92,1279.029184445739
93,1464.4309543147685
94,1649.8418249189856
95,1835.2645264789464
96,1816.4781063497069
97,1797.6944164410236
98,1778.9052660912278
99,1760.127036623657
100,1434.0401867479088
101,1108.0040734708311
102,782.0161940902473
103,456.0829191207887
104,260.21598634123814
105,64.35314889252199
106,-131.5037730783223
107,-326.2704269737004
108,-642.4613649249076
109,-958.6454773247241
110,-1274.811843290925
111,-1590.9782092571259
112,-2663.160848721862
113,-3734.973998337984
114,-4806.4344944655895
115,-5877.5209503769875
116,-6734.211376667023
117,-7590.525942593813
118,-8446.461917936802
119,-9302.024763137102
120,-9242.811739712954
121,-9183.629658788443
122,-9124.467599481344
123,-9065.338302820921
124,-8756.276425778866
125,-8447.20817822218
126,-8138.140840739012
127,-7829.068042814732
128,-6613.685790210962
129,-5397.699248790741
130,-4181.12115958333
131,-2963.9474272578955
132,-1721.7016245275736
133,-478.8219555914401
134,764.6929446607829
135,2008.8437587842348
136,3313.0111912488937
137,4617.7999764084825
138,5923.211706891657
139,7229.246837735177
140,7392.935391038657
141,7556.6366853714
142,7720.345260292293
143,7884.055655360223
144,8059.199304044248
145,8234.364794492722
146,8409.530284941196
147,8584.703055977821
148,9065.512187331915
149,9546.410505890846
150,10027.397101581097
151,10508.480165064335
152,11364.910310328007
153,12221.64624029398
154,13078.681584447624
155,13936.011792421343
156,14569.905300438406
157,15203.962621688845
158,15838.189216613771
159,16472.585085213184
160,17168.50556397438
161,17864.62079846859
162,18560.93260884285
163,19257.44099509716
164,18858.23906624317
165,18459.115403711796
166,18060.060906767845
167,17656.709042668343
168,17071.557252168655
169,16486.567454755306
170,15901.72326910496
171,15317.033795952799
172,14711.370768487455
173,14105.871554255487
174,13500.53979355097
175,12895.36365541816
176,12914.585318207743
177,12933.814261585476
178,12953.038654595615
179,12972.25940731168
180,13089.12103778124
181,13205.984488397839
182,13322.85248938203
183,13439.713209778072
184,14067.754034996035
185,14695.937741756441
186,15324.274340867998
187,15952.76019203663
188,16717.51499146223
189,17482.54281294346
190,18247.8381960392
191,19013.421162366867
192,19527.92030531168
193,20042.539577960968
194,20557.289901196957
195,21072.154893696308
196,20951.17518055439
197,20830.191827118397
198,20709.213934123516
199,20588.243321716785
200,20164.141781389713
201,19740.103946208954
202,19316.133456468582
203,18896.83528417349
204,18511.075141191483
205,18125.37142276764
206,17739.72958934307
207,17354.138720035553
208,17010.214656710625
209,16666.350658237934
210,16322.530343294145
211,15978.751891732218
212,17378.470445632935
213,18779.062670111656
214,20180.555867373943
215,21582.930015802383
216,23060.354287028313
217,24538.777818977833
218,26018.215172827244
219,27498.666348576546
220,28272.996941566467
221,29047.644240140915
222,29822.619165182114
223,30597.91443610191
224,30448.560450792313
225,30299.21374607086
226,30149.863401055336
227,30000.50577545166
228,29477.53020775318
229,28954.627445936203
230,28431.806590735912
231,27909.04580038786
232,27480.30652540922
233,27051.61457425356
234,26622.96448647976
235,26194.367182970047
236,26944.054805219173
237,27693.980866730213
238,28444.12716603279
239,29194.515544891357
240,29999.977932810783
241,30805.72062337398
242,31611.74361658096
243,32418.03599154949
244,32713.980978965756
245,33009.96964991093
246,33305.994723796844
247,33602.07076179981
248,32447.95192825794
249,31294.339095592495
250,30141.232263803482
251,28988.649634361267
252,28039.674112975597
253,27091.05352026224
254,26142.79513680935
255,25194.886221587658
256,24762.042515039444
257,24329.277074813843
258,23896.59354120493
259,23463.990094065666
260,23600.908834815025
261,23737.81665468216
262,23874.731755137444
263,24007.939216077328
264,24752.98910367489
265,25498.237387299538
266,26243.682246804237
267,26989.316401600838
268,28195.22205865383
269,29401.681040406227
270,30608.696987152096
271,31816.277179479595
272,33202.7123003006
273,34589.8900411129
274,35977.788560152054
275,37366.43697977066
276,38471.076936244965
277,39576.18285036087
278,40681.75472211838
279,41787.77799034119
280,43159.96500015259
281,44532.88006877899
282,45906.53047680855
283,47280.90166306496
284,48049.01099348068
285,48817.35330271721
286,49585.899468421936
287,50354.678612947464
288,50818.28462457657
289,51281.97072267532
290,51745.72962665558
291,52209.575897693634
292,52423.0500228405
293,52636.545989751816
294,52850.04923725128
295,53063.5743265152
296,52866.233984708786
297,52668.922765254974
298,52471.61882638931
299,52281.508108615875
300,51627.35454392433
301,50973.41211628914
302,50319.65898394585
303,49666.116988658905
304,49823.18839740753
305,49980.26708674431
306,50137.345776081085
307,50294.43174600601
308,50935.96077084541
309,51577.642688035965
310,52219.47749757767
311,52861.45791888237
312,53837.857595682144
313,54814.63586306572
314,55791.763598680496
315,56769.269924879074
316,58055.181965112686
317,59341.7346971035
318,60628.90627908707
319,61916.703991651535
320,63567.62831878662
321,65219.64473414421
322,66872.74595713615
323,68526.93198776245
324,69823.77219080925
325,71121.289488554
326,72419.50572276115
327,73718.38449048996
328,76311.4169242382
329,78907.15045619011
330,81505.58508634567
331,84106.74265646935
332,84961.38177704811
333,85816.33396291733
334,86671.5846529007
335,87527.17024993896
336,87986.52439808846
337,88445.98047447205
338,88905.53119850159
339,89365.19113135338
340,89454.84429383278
341,89544.51201748848
342,89634.17974114418
343,89723.86930656433
344,89184.11562347412
345,88644.47842979431
346,88104.93588376045
347,87565.4661436081
348,86500.62916254997
349,85436.19989442825
350,84372.17105865479
351,83308.54265522957
352,81652.84954285622
353,79998.15387105942
354,78344.47020101547
355,76691.80581331253
356,74821.26982522011
357,72952.05890417099
358,71084.14392781258
359,69217.54673790932
360,67270.85579776764
361,65325.606414079666
362,63381.76218390465
363,61439.330387830734
364,59087.05972361565
365,56736.864027023315
366,54388.75057864189
367,52042.697536706924
368,48993.0775783062
369,45947.134316921234
370,42904.85319137573
371,39866.24876284599
372,37201.71367287636
373,34540.07989728451
374,31881.329234600064
375,29225.47260570526
376,27077.475223362446
377,24931.327110409737
378,22787.03190714121
379,20644.589613556862
380,20096.679851591587
381,19548.861096978188
382,19001.131529569626
383,18453.483868777752
384,17976.78189921379
385,17500.139994502068
386,17023.549053907394
387,16547.019998311996
388,15549.375565290453
389,14552.087881088259
390,13555.151485264303
391,12558.570928186178
392,10863.01841583848
393,9168.75911796093
394,7475.794854700566
395,5784.121530726553
396,4534.79672113061
397,3286.224997371435
398,2038.421830698848
399,791.375845193863
400,35.10111081600202
401,-720.8632884919642
402,-1476.5291836857796
403,-2231.89202439785
404,-2449.4323580265045
405,-2666.9476646333933
406,-2884.4311186671257
407,-3101.8813550174236
408,-3333.4604827463627
409,-3565.0004773139954
410,-3796.5131696760654
411,-4027.9903691709037
412,-4387.334718197584
413,-4746.609901636839
414,-5105.807728827
415,-5464.93275013566
416,-4781.353778362274
417,-4097.6492164433
418,-3413.8190643787384
419,-2729.8510361760855
420,-1367.3954425007105
421,-4.236361995339268
422,1359.6257503032687
423,2724.1881641745567
424,6526.363386482001
425,10334.53326305747
426,14148.717815518381
427,17968.918864011765
428,19686.4132488966
429,21405.074348032475
430,23124.90216141939
431,24845.905789792538
432,26689.279723644257
433,28534.03696924448
434,30380.19208776951
435,32227.728697896
436,34674.83630335331
437,37124.41566848755
438,39576.47407388687
439,42031.0078792572
440,43273.16358470917
441,44515.945420742035
442,45759.382509708405
443,47003.48213219643
444,48092.84013414383
445,49182.693216085434
446,50273.04865860939
447,51363.8773393631
448,51944.256704330444
449,52524.78168106079
450,53105.43770837784
451,53686.232066869736
452,54901.18021440506
453,56116.703528404236
454,57332.816570043564
455,58549.519339323044
456,59610.26462984085
457,60671.45403623581
458,61733.08755850792
459,62795.16519665718
460,63781.90330862999
461,64769.01273059845
462,65756.52258491516
463,66744.41102981567
464,67316.11193370819
465,67887.93660759926
466,68459.89233207703
467,69031.9791071415
468,69104.49376511574
469,69176.99386191368
470,69249.50851988792
471,69322.00861668587
472,69647.82949757576
473,69973.67950081825
474,70299.58774876595
475,70625.53968024254
476,71361.89108514786
477,72098.45362710953
478,72835.22730612755
479,73572.21212220192
480,74277.48997688293
481,74982.9498462677
482,75688.61357212067
483,76394.43747091293
484,77273.42287826538
485,78152.71407032013
486,79032.28920531273
487,79912.18468618393
488,78797.71593570709
489,77683.72770404816
490,76570.24911355972
491,75457.24376130104
492,73805.3656771183
493,72154.55055880547
494,70504.82024812698
495,68856.16018390656
496,67483.65282821655
497,66111.895373106
498,64740.880537986755
499,63370.60832285881
500,63103.286967754364
501,62836.00201559067
502,62568.73162460327
503,62301.504917144775
504,61870.59602689743
505,61439.759942531586
506,61009.00394463539
507,60578.31347203255
508,60374.24586677551
509,60170.20010328293
510,59966.147059202194
511,59762.12313747406
512,59125.173602581024
513,58488.37696003914
514,57851.725929260254
515,57215.22779083252
516,56243.72794985771
517,55272.606699466705
518,54301.85675907135
519,53331.492689847946
520,51174.30538511276
521,49018.989191532135
522,46865.507706165314
523,44713.8754901886
524,44977.942422389984
525,45242.02391576767
526,45506.127250909805
527,45770.25970840454
528,45949.01998925209
529,46127.79483127594
530,46306.58423447609
531,46485.37363767624
532,46862.566348552704
533,47239.81002354622
534,47617.097382068634
535,47994.4357047081
536,47729.71351957321
537,47465.042298555374
538,47200.38563871384
539,46935.77994298935
540,46669.96566963196
541,46404.19507980347
542,46138.453612327576
543,45872.733986616135
544,45817.16853785515
545,45761.60308909416
546,45706.044920921326
547,45650.47947216034
548,46197.34628987312
549,46744.32231640816
550,47291.39299058914
551,47831.954818964005
552,48249.896981716156
553,48667.89738917351
554,49085.94876074791
555,49504.05837702751
556,50071.11426568031
557,50638.279363155365
558,51205.56823062897
559,51772.96630692482
560,52967.252145290375
561,54162.10586953163
562,55357.52019906044
563,56553.51697564125
564,57499.30905985832
565,58445.472454071045
566,59391.99259710312
567,60338.891330718994
568,60835.74778842926
569,61332.71345496178
570,61829.77376914024
571,62326.94329214096
572,63319.73157286644
573,64312.90572476387
574,65306.45118665695
575,66300.36795854568
576,67360.67641377449
577,68421.41442370415
578,69482.5892689228
579,70544.20094943047
580,71674.29384207726
581,72804.9036564827
582,73936.00855088234
583,75067.62308645248
584,74806.46838951111
585,74545.32097315788
586,74284.2099597454
587,74032.91317915916
588,73174.87402391434
589,72317.11153101921
590,71459.63298106194
591,70602.43837404251
592,70440.29239535332
593,70278.15369725227
594,70116.02227973938
595,69953.90542340279
596,69503.06956338882
597,69052.29922866821
598,68601.5871386528
599,68150.96241569519
600,67610.77189731598
601,67070.66146540642
602,66530.65296173096
603,65990.73910570145
604,64691.34341621399
605,63392.537454366684
606,62094.32122015953
607,60796.68015241623
608,57699.16848516464
609,54605.31895375252
610,51515.146119356155
611,48428.628140211105
612,45503.455275058746
613,42581.60963869095
614,39663.07666993141
615,36747.863649368286
616,32913.80400133133
617,29085.46689558029
618,25262.843231379986
619,21445.923907995224
620,21995.684759497643
621,22545.523877322674
622,23095.450362205505
623,23645.45511341095
624,24324.091475903988
625,25002.87891060114
626,25681.80649662018
627,26360.879694402218
628,27488.782950162888
629,28617.15762400627
630,29745.998255491257
631,30875.31940579414
632,31560.291700124737
633,32245.467850923535
634,32930.82601642609
635,33616.388038396835
636,33885.42761230469
637,34154.49630856514
638,34423.59412717819
639,34692.721068143845
640,34912.94429850578
641,35133.19301092625
642,35353.46356511116
643,35573.7450401783
